id_adopcion,id_usuario,id_animal,fecha
1,3,8,2021-01-15
2,1,2,2020-02-20
3,5,7,2022-03-10
4,10,4,2023-04-05
5,6,9,2023-05-12
6,2,1,2023-06-08
7,8,5,2019-07-19
8,9,6,2023-08-25
9,4,3,2023-09-30
10,7,10,2023-10-15
11,42,30,2021-01-21
12,35,14,2020-02-27
13,16,49,2022-03-15
14,29,20,2023-04-10
15,47,36,2023-05-18
16,25,43,2023-06-14
17,14,18,2019-07-25
18,19,49,2023-08-31
19,24,24,2023-10-05
20,12,45,2023-11-20
21,15,25,2021-01-27
22,13,26,2020-03-05
23,46,46,2022-04-20
24,50,47,2023-05-26
25,33,38,2023-07-02
26,45,14,2019-08-06
27,26,33,2023-09-11
28,48,37,2023-10-17
29,34,36,2023-11-22
30,37,48,2021-02-02
31,39,12,2020-03-12
32,28,16,2022-04-25
33,44,22,2023-06-01
34,27,31,2023-07-07
35,40,23,2019-08-12
36,38,11,2023-09-17
37,17,39,2023-10-23
38,11,13,2023-11-28
39,49,41,2021-02-08
40,23,50,2020-03-19
41,36,17,2022-05-05
42,31,29,2023-06-11
43,18,26,2023-07-17
44,30,40,2019-08-23
45,22,38,2023-09-28
46,41,16,2023-11-03
47,20,26,2021-02-14
48,43,20,2020-04-02
49,21,29,2022-05-15
50,32,25,2023-06-21